coord
1,org.smooks.cartridges.edi:d12b-edifact-binding:2.0.0-M2,org.smooks.cartridges.edi:d12b-edifact-binding:2.0.0-M2;org.smooks.cartridges.edi:edifact-schemas:2.0.0-M2;org.smooks.cartridges.edi:service-edifact-binding:2.0.0-M2;org.smooks.cartridges.edi:edi-schemas:2.0.0-M2;org.smooks.cartridges:smooks-dfdl-cartridge:1.0.0-M2;org.smooks:smooks-core:2.0.0-M2;org.smooks:smooks-commons:2.0.0-M2;org.slf4j:slf4j-api:1.7.30;commons-lang:commons-lang:2.6;org.freemarker:freemarker:2.3.30;javassist:javassist:3.12.1.GA;javax.servlet:servlet-api:2.5;hsqldb:hsqldb:1.8.0.10;javax.inject:javax.inject:1;com.thoughtworks.xstream:xstream:1.4.14;xmlpull:xmlpull:1.1.3.1;xpp3:xpp3_min:1.1.4c;org.mvel:mvel2:2.4.10.Final;jaxen:jaxen:1.2.0;dtdparser:dtdparser:1.21;javax.transaction:jta:1.1;com.fasterxml:classmate:1.5.1;com.google.code.findbugs:jsr305:3.0.2;org.apache.daffodil:daffodil-japi_2.12:2.7.0;org.scala-lang:scala-library:2.12.11;org.apache.daffodil:daffodil-core_2.12:2.7.0;org.apache.daffodil:daffodil-runtime1-unparser_2.12:2.7.0;org.apache.daffodil:daffodil-runtime1_2.12:2.7.0;org.apache.daffodil:daffodil-io_2.12:2.7.0;org.apache.daffodil:daffodil-lib_2.12:2.7.0;org.apache.daffodil:daffodil-udf_2.12:2.7.0;org.scala-lang.modules:scala-xml_2.12:1.1.0;org.scala-lang.modules:scala-parser-combinators_2.12:1.1.1;com.ibm.icu:icu4j:62.1;xerces:xercesImpl:2.12.0;xml-apis:xml-apis:1.4.01;xml-resolver:xml-resolver:1.2;commons-io:commons-io:2.6;jline:jline:2.14.6;org.jdom:jdom2:2.0.6;com.fasterxml.woodstox:woodstox-core:5.1.0;org.codehaus.woodstox:stax2-api:4.1;com.fasterxml.jackson.core:jackson-core:2.10.2
2,com.twitter:util-function_2.12:20.12.0,com.twitter:util-function_2.12:20.12.0;org.scala-lang:scala-library:2.12.11;org.scala-lang.modules:scala-collection-compat_2.12:2.1.2
3,io.youi:youi-communication_sjs1_2.13:0.13.17,io.youi:youi-communication_sjs1_2.13:0.13.17;org.scala-lang:scala-library:2.13.3;io.youi:youi-core_sjs1_2.13:0.13.17;io.youi:youi-macros_sjs1_2.13:0.13.17;org.scala-lang.modules:scala-collection-compat_2.13:2.1.6;com.outr:profig_sjs1_2.13:3.0.4;com.outr:profig-macros_sjs1_2.13:3.0.4;io.circe:circe-core_sjs1_2.13:0.13.0;io.circe:circe-numbers_sjs1_2.13:0.13.0;org.typelevel:cats-core_sjs1_2.13:2.1.1;org.typelevel:cats-macros_sjs1_2.13:2.1.1;org.typelevel:cats-kernel_sjs1_2.13:2.1.1;io.circe:circe-generic_sjs1_2.13:0.13.0;com.chuusai:shapeless_sjs1_2.13:2.3.3;io.circe:circe-parser_sjs1_2.13:0.13.0;io.circe:circe-scalajs_sjs1_2.13:0.13.0;io.circe:circe-generic-extras_sjs1_2.13:0.13.0;io.circe:circe-jawn_2.13:0.13.0;io.circe:circe-core_2.13:0.13.0;io.circe:circe-numbers_2.13:0.13.0;org.typelevel:cats-core_2.13:2.1.0;org.typelevel:cats-macros_2.13:2.1.0;org.typelevel:cats-kernel_2.13:2.1.0;org.typelevel:jawn-parser_2.13:1.0.0;org.scala-lang.modules:scala-collection-compat_sjs1_2.13:2.1.6;com.outr:scribe_sjs1_2.13:2.8.2;com.outr:scribe-macros_sjs1_2.13:2.8.2;com.outr:perfolation_sjs1_2.13:1.2.0;com.outr:reactify_sjs1_2.13:4.0.2;org.scala-js:scalajs-dom_sjs1_2.13:1.1.0;org.scala-js:scalajs-library_2.13:1.2.0;org.scala-lang:scala-reflect:2.13.3
4,org.opennms.alec.datasource:org.opennms.alec.datasource.opennms-common:1.1.1,org.opennms.alec.datasource:org.opennms.alec.datasource.opennms-common:1.1.1;org.opennms.alec.datasource:org.opennms.alec.datasource.api:1.1.1;org.opennms.alec.datasource:org.opennms.alec.datasource.common:1.1.1;com.google.code.gson:gson:2.8.2;org.slf4j:slf4j-api:1.7.26;com.google.guava:guava:24.1.1-jre;com.google.code.findbugs:jsr305:1.3.9;org.checkerframework:checker-compat-qual:2.0.0;com.google.errorprone:error_prone_annotations:2.1.3;com.google.j2objc:j2objc-annotations:1.1;org.codehaus.mojo:animal-sniffer-annotations:1.14
5,net.exoego:aws-sdk-scalajs-facade-ssooidc_sjs1_2.13:0.32.0-v2.798.0,net.exoego:aws-sdk-scalajs-facade-ssooidc_sjs1_2.13:0.32.0-v2.798.0;org.scala-lang:scala-library:2.13.3;net.exoego:aws-sdk-scalajs-facade-core_sjs1_2.13:0.32.0-v2.798.0;org.scala-js:scalajs-library_2.13:1.3.1
6,com.github.scopt:scopt_native0.4_2.11:4.0.0,com.github.scopt:scopt_native0.4_2.11:4.0.0;org.scala-lang:scala-library:2.11.12;org.scala-native:nativelib_native0.4_2.11:0.4.0;org.scala-lang:scala-reflect:2.11.12;org.scala-native:javalib_native0.4_2.11:0.4.0;org.scala-native:posixlib_native0.4_2.11:0.4.0;org.scala-native:clib_native0.4_2.11:0.4.0;org.scala-native:auxlib_native0.4_2.11:0.4.0;org.scala-native:scalalib_native0.4_2.11:0.4.0;org.scala-lang:scala-library:2.11.12
7,com.expediagroup:beekeeper-metadata-cleanup:3.1.0,com.expediagroup:beekeeper-metadata-cleanup:3.1.0;com.expediagroup:beekeeper-cleanup:3.1.0;com.expediagroup:beekeeper-core:3.1.0;ch.qos.logback:logback-core:1.2.3;org.apache.commons:commons-lang3:3.8.1;org.springframework.boot:spring-boot-starter-actuator:2.1.3.RELEASE;org.springframework.boot:spring-boot-actuator-autoconfigure:2.1.3.RELEASE;io.micrometer:micrometer-core:1.1.3;org.hdrhistogram:HdrHistogram:2.1.9;org.latencyutils:LatencyUtils:2.0.3;org.springframework.boot:spring-boot-starter-data-jpa:2.1.3.RELEASE;org.springframework.boot:spring-boot-starter-aop:2.1.3.RELEASE;org.aspectj:aspectjweaver:1.9.2;org.springframework.boot:spring-boot-starter-jdbc:2.1.3.RELEASE;org.springframework:spring-jdbc:5.1.5.RELEASE;javax.transaction:javax.transaction-api:1.3;org.hibernate:hibernate-core:5.3.7.Final;javax.persistence:javax.persistence-api:2.2;org.javassist:javassist:3.23.1-GA;net.bytebuddy:byte-buddy:1.8.17;antlr:antlr:2.7.7;org.jboss:jandex:2.0.5.Final;javax.activation:javax.activation-api:1.2.0;org.dom4j:dom4j:2.1.1;org.hibernate.common:hibernate-commons-annotations:5.0.4.Final;org.springframework.data:spring-data-jpa:2.1.5.RELEASE;org.springframework.data:spring-data-commons:2.1.5.RELEASE;org.springframework:spring-orm:5.1.5.RELEASE;org.springframework:spring-tx:5.1.5.RELEASE;org.springframework:spring-aspects:5.1.5.RELEASE;io.micrometer:micrometer-registry-graphite:1.1.4;io.dropwizard.metrics:metrics-graphite:4.0.3;com.rabbitmq:amqp-client:4.4.1;io.micrometer:micrometer-registry-prometheus:1.3.3;io.prometheus:simpleclient_common:0.7.0;io.prometheus:simpleclient:0.7.0;org.apache.hive:hive-metastore:2.3.7;org.apache.hive:hive-serde:2.3.7;org.apache.hive:hive-common:2.3.7;org.apache.hive:hive-storage-api:2.4.0;org.apache.orc:orc-core:1.3.4;io.airlift:aircompressor:0.8;io.airlift:slice:0.29;org.openjdk.jol:jol-core:0.2;jline:jline:2.12;org.apache.logging.log4j:log4j-1.2-api:2.6.2;org.apache.logging.log4j:log4j-core:2.6.2;org.apache.logging.log4j:log4j-web:2.6.2;org.apache.ant:ant:1.9.1;org.apache.ant:ant-launcher:1.9.1;com.tdunning:json:1.8;io.dropwizard.metrics:metrics-jvm:3.1.0;io.dropwizard.metrics:metrics-json:3.1.0;com.github.joshelser:dropwizard-metrics-hadoop-metrics2-reporter:0.1.2;org.apache.hadoop:hadoop-common:2.6.0;org.apache.commons:commons-math3:3.1.1;xmlenc:xmlenc:0.52;commons-httpclient:commons-httpclient:3.1;commons-net:commons-net:3.1;commons-collections:commons-collections:3.2.1;org.mortbay.jetty:jetty:6.1.26;javax.servlet.jsp:jsp-api:2.1;net.java.dev.jets3t:jets3t:0.9.0;com.jamesmurty.utils:java-xmlbuilder:0.4;commons-configuration:commons-configuration:1.6;commons-digester:commons-digester:1.8;commons-beanutils:commons-beanutils:1.7.0;commons-beanutils:commons-beanutils-core:1.8.0;org.apache.hadoop:hadoop-auth:2.6.0;org.apache.directory.server:apacheds-kerberos-codec:2.0.0-M15;org.apache.directory.server:apacheds-i18n:2.0.0-M15;org.apache.directory.api:api-asn1-api:1.0.0-M20;org.apache.directory.api:api-util:1.0.0-M20;com.jcraft:jsch:0.1.42;org.apache.curator:curator-recipes:2.6.0;org.htrace:htrace-core:3.0.4;org.apache.hive:hive-service-rpc:2.3.7;tomcat:jasper-compiler:5.5.23;javax.servlet:jsp-api:2.0;ant:ant:1.6.5;tomcat:jasper-runtime:5.5.23;commons-el:commons-el:1.0;net.sf.opencsv:opencsv:2.3;org.apache.parquet:parquet-hadoop-bundle:1.8.1;org.apache.hive:hive-shims:2.3.7;org.apache.hive.shims:hive-shims-common:2.3.7;org.apache.curator:curator-framework:2.7.1;org.apache.curator:curator-client:2.7.1;org.apache.zookeeper:zookeeper:3.4.6;org.apache.hive.shims:hive-shims-0.23:2.3.7;org.apache.hadoop:hadoop-yarn-server-resourcemanager:2.7.2;org.apache.hadoop:hadoop-yarn-server-common:2.7.2;org.apache.hadoop:hadoop-yarn-server-applicationhistoryservice:2.7.2;org.apache.hadoop:hadoop-yarn-server-web-proxy:2.7.2;org.fusesource.leveldbjni:leveldbjni-all:1.8;org.apache.zookeeper:zookeeper:3.4.6;org.apache.hive.shims:hive-shims-scheduler:2.3.7;javolution:javolution:5.5.1;com.jolbox:bonecp:0.8.0.RELEASE;com.zaxxer:HikariCP:2.5.1;commons-cli:commons-cli:1.2;commons-lang:commons-lang:2.6;org.apache.derby:derby:10.10.2.0;org.datanucleus:datanucleus-api-jdo:4.2.4;org.datanucleus:datanucleus-core:4.1.17;org.datanucleus:datanucleus-rdbms:4.1.19;commons-pool:commons-pool:1.5.4;commons-dbcp:commons-dbcp:1.4;javax.jdo:jdo-api:3.0.1;javax.transaction:jta:1.1;org.datanucleus:javax.jdo:3.2.0-m3;javax.transaction:transaction-api:1.1;org.antlr:antlr-runtime:3.5.2;org.apache.thrift:libfb303:0.9.3;org.apache.thrift:libthrift:0.9.3;org.apache.httpcomponents:httpclient:4.4.1;org.apache.httpcomponents:httpcore:4.4.1;co.cask.tephra:tephra-api:0.6.0;co.cask.tephra:tephra-core:0.6.0;com.google.code.gson:gson:2.2.4;com.google.inject.extensions:guice-assistedinject:3.0;it.unimi.dsi:fastutil:6.5.6;org.apache.twill:twill-common:0.6.0-incubating;org.apache.twill:twill-core:0.6.0-incubating;org.apache.twill:twill-api:0.6.0-incubating;org.apache.twill:twill-discovery-api:0.6.0-incubating;org.apache.twill:twill-discovery-core:0.6.0-incubating;org.apache.twill:twill-zookeeper:0.6.0-incubating;io.dropwizard.metrics:metrics-core:3.1.0;co.cask.tephra:tephra-hbase-compat-1.0:0.6.0;com.hotels:hcommon-hive-metastore:1.4.2;com.hotels:hcommon-ssh:1.0.1;net.java.dev.jna:jna:3.4.0;net.java.dev.jna:platform:3.4.0;org.hibernate:hibernate-validator:5.4.2.Final;org.jboss.logging:jboss-logging:3.3.0.Final;com.fasterxml:classmate:1.3.1;org.glassfish:javax.el:3.0.1-b08;javax.validation:validation-api:1.1.0.Final;com.amazonaws:aws-java-sdk-s3:1.11.532;com.amazonaws:aws-java-sdk-kms:1.11.532;com.amazonaws:aws-java-sdk-core:1.11.532;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.532;mysql:mysql-connector-java:8.0.15;org.springframework.boot:spring-boot-actuator:2.1.3.RELEASE;org.springframework.boot:spring-boot:2.1.3.RELEASE;org.springframework:spring-core:5.1.5.RELEASE;org.springframework:spring-jcl:5.1.5.RELEASE;org.springframework:spring-context:5.1.5.RELEASE;org.springframework.boot:spring-boot-starter-web:2.1.3.RELEASE;org.springframework.boot:spring-boot-starter:2.1.3.RELEASE;org.springframework.boot:spring-boot-autoconfigure:2.1.3.RELEASE;org.springframework.boot:spring-boot-starter-logging:2.1.3.RELEASE;ch.qos.logback:logback-classic:1.2.3;org.apache.logging.log4j:log4j-to-slf4j:2.11.2;org.apache.logging.log4j:log4j-api:2.11.2;org.slf4j:jul-to-slf4j:1.7.25;javax.annotation:javax.annotation-api:1.3.2;org.yaml:snakeyaml:1.23;org.springframework.boot:spring-boot-starter-json:2.1.3.RELEASE;com.fasterxml.jackson.core:jackson-databind:2.9.8;com.fasterxml.jackson.core:jackson-annotations:2.9.0;com.fasterxml.jackson.core:jackson-core:2.9.8;com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.9.8;com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.9.8;com.fasterxml.jackson.module:jackson-module-parameter-names:2.9.8;org.springframework.boot:spring-boot-starter-tomcat:2.1.3.RELEASE;org.apache.tomcat.embed:tomcat-embed-core:9.0.16;org.apache.tomcat.embed:tomcat-embed-el:9.0.16;org.apache.tomcat.embed:tomcat-embed-websocket:9.0.16;org.springframework:spring-web:5.1.5.RELEASE;org.springframework:spring-beans:5.1.5.RELEASE;org.springframework:spring-webmvc:5.1.5.RELEASE;org.springframework:spring-aop:5.1.5.RELEASE;org.springframework:spring-expression:5.1.5.RELEASE;com.google.guava:guava:27.1-jre;com.google.guava:failureaccess:1.0.1;com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava;com.google.code.findbugs:jsr305:3.0.2;org.checkerframework:checker-qual:2.5.2;com.google.errorprone:error_prone_annotations:2.2.0;com.google.j2objc:j2objc-annotations:1.1;org.codehaus.mojo:animal-sniffer-annotations:1.17;org.apache.hadoop:hadoop-mapreduce-client-core:2.8.1;org.apache.hadoop:hadoop-yarn-common:2.8.1;org.apache.hadoop:hadoop-yarn-api:2.8.1;javax.xml.bind:jaxb-api:2.2.2;javax.xml.stream:stax-api:1.0-2;javax.activation:activation:1.1;org.apache.commons:commons-compress:1.4.1;org.tukaani:xz:1.0;commons-codec:commons-codec:1.4;org.mortbay.jetty:jetty-util:6.1.26;com.sun.jersey:jersey-core:1.9;com.sun.jersey:jersey-client:1.9;org.codehaus.jackson:jackson-core-asl:1.9.13;org.codehaus.jackson:jackson-mapper-asl:1.9.13;org.codehaus.jackson:jackson-jaxrs:1.9.13;org.codehaus.jackson:jackson-xc:1.9.13;commons-logging:commons-logging:1.1.3;commons-io:commons-io:2.4;com.google.inject:guice:3.0;javax.inject:javax.inject:1;aopalliance:aopalliance:1.0;com.sun.jersey:jersey-server:1.9;asm:asm:3.1;com.sun.jersey:jersey-json:1.9;org.codehaus.jettison:jettison:1.1;com.sun.xml.bind:jaxb-impl:2.2.3-1;com.sun.jersey.contribs:jersey-guice:1.9;log4j:log4j:1.2.17;com.google.protobuf:protobuf-java:2.5.0;org.apache.avro:avro:1.7.4;com.thoughtworks.paranamer:paranamer:2.3;org.xerial.snappy:snappy-java:1.0.4.1;org.slf4j:slf4j-api:1.7.10;org.apache.hadoop:hadoop-annotations:2.8.1;com.google.inject.extensions:guice-servlet:3.0;io.netty:netty:3.6.2.Final
8,ml.dmlc:xgboost4j-spark_2.12:1.2.0,ml.dmlc:xgboost4j-spark_2.12:1.2.0;ml.dmlc:xgboost4j_2.12:1.2.0;com.typesafe.akka:akka-actor_2.12:2.5.23;com.typesafe:config:1.3.3;org.scala-lang.modules:scala-java8-compat_2.12:0.8.0;org.scalatest:scalatest_2.12:3.0.5;org.scalactic:scalactic_2.12:3.0.5;com.esotericsoftware:kryo:4.0.2;com.esotericsoftware:reflectasm:1.11.3;org.ow2.asm:asm:5.0.4;com.esotericsoftware:minlog:1.3.0;org.objenesis:objenesis:2.5.1;org.scala-lang:scala-compiler:2.12.8;org.scala-lang.modules:scala-xml_2.12:1.0.6;org.scala-lang:scala-reflect:2.12.8;org.scala-lang:scala-library:2.12.8;commons-logging:commons-logging:1.2
9,org.apache.zeppelin:zeppelin-zengine:0.9.0,org.apache.zeppelin:zeppelin-zengine:0.9.0;org.apache.zeppelin:zeppelin-common:0.9.0;org.apache.zeppelin:zeppelin-interpreter:0.9.0;io.atomix:atomix:3.0.0-rc4;io.atomix:atomix-cluster:3.0.0-rc4;io.netty:netty-transport:4.1.27.Final;io.netty:netty-buffer:4.1.27.Final;io.netty:netty-resolver:4.1.27.Final;io.netty:netty-codec:4.1.27.Final;io.netty:netty-handler:4.1.27.Final;io.netty:netty-transport-native-epoll:4.1.27.Final;io.netty:netty-common:4.1.27.Final;io.netty:netty-transport-native-unix-common:4.1.27.Final;io.atomix:atomix-primitive:3.0.0-rc4;io.atomix:atomix-storage:3.0.0-rc4;io.atomix:atomix-utils:3.0.0-rc4;com.google.guava:guava:22.0;com.google.code.findbugs:jsr305:1.3.9;com.google.errorprone:error_prone_annotations:2.0.18;com.google.j2objc:j2objc-annotations:1.1;org.codehaus.mojo:animal-sniffer-annotations:1.14;org.apache.commons:commons-math3:3.6.1;com.esotericsoftware:kryo:4.0.2;com.esotericsoftware:reflectasm:1.11.3;org.ow2.asm:asm:5.0.4;com.esotericsoftware:minlog:1.3.0;org.objenesis:objenesis:2.5.1;com.typesafe:config:1.3.2;io.github.lukehutch:fast-classpath-scanner:2.21;org.hamcrest:hamcrest-all:1.3;io.atomix:atomix-raft:3.0.0-rc4;io.atomix:atomix-primary-backup:3.0.0-rc4;org.apache.thrift:libthrift:0.13.0;javax.annotation:javax.annotation-api:1.3.2;commons-configuration:commons-configuration:1.9;commons-lang:commons-lang:2.6;org.apache.commons:commons-exec:1.3;org.apache.commons:commons-pool2:2.3;org.slf4j:slf4j-log4j12:1.7.30;log4j:log4j:1.2.17;org.slf4j:jcl-over-slf4j:1.7.30;org.apache.maven:maven-plugin-api:3.6.3;org.apache.maven:maven-model:3.6.3;org.apache.maven:maven-artifact:3.6.3;org.codehaus.plexus:plexus-utils:3.2.1;org.codehaus.plexus:plexus-classworlds:2.6.0;org.eclipse.sisu:org.eclipse.sisu.plexus:0.3.4;javax.enterprise:cdi-api:1.0;org.eclipse.sisu:org.eclipse.sisu.inject:0.3.4;org.codehaus.plexus:plexus-component-annotations:1.5.5;org.apache.maven:maven-resolver-provider:3.6.3;org.apache.maven:maven-model-builder:3.6.3;org.codehaus.plexus:plexus-interpolation:1.25;org.apache.maven:maven-builder-support:3.6.3;org.apache.maven:maven-repository-metadata:3.6.3;org.apache.maven.resolver:maven-resolver-api:1.4.1;org.apache.maven.resolver:maven-resolver-spi:1.4.1;org.apache.maven.resolver:maven-resolver-util:1.4.1;org.apache.maven.resolver:maven-resolver-impl:1.4.1;javax.inject:javax.inject:1;org.apache.maven.resolver:maven-resolver-connector-basic:1.4.1;org.apache.maven.resolver:maven-resolver-transport-file:1.4.1;org.apache.maven.resolver:maven-resolver-transport-http:1.4.1;jline:jline:2.14.3;org.apache.zeppelin:zeppelin-jupyter:0.9.0;org.danilopianini:gson-extras:0.2.2;javax.annotation:jsr250-api:1.0;org.apache.zeppelin:zeppelin-markdown:0.9.0;org.commonjava.googlecode.markdown4j:markdown4j:2.2-cj-1.0;org.pegdown:pegdown:1.6.0;org.parboiled:parboiled-java:1.1.7;org.parboiled:parboiled-core:1.1.7;org.ow2.asm:asm-tree:5.0.3;org.ow2.asm:asm-analysis:5.0.3;org.ow2.asm:asm-util:5.0.3;com.vladsch.flexmark:flexmark-all:0.50.40;com.vladsch.flexmark:flexmark:0.50.40;com.vladsch.flexmark:flexmark-ext-abbreviation:0.50.40;com.vladsch.flexmark:flexmark-ext-admonition:0.50.40;com.vladsch.flexmark:flexmark-ext-anchorlink:0.50.40;com.vladsch.flexmark:flexmark-ext-aside:0.50.40;com.vladsch.flexmark:flexmark-ext-attributes:0.50.40;com.vladsch.flexmark:flexmark-ext-autolink:0.50.40;org.nibor.autolink:autolink:0.6.0;com.vladsch.flexmark:flexmark-ext-definition:0.50.40;com.vladsch.flexmark:flexmark-ext-emoji:0.50.40;com.vladsch.flexmark:flexmark-ext-enumerated-reference:0.50.40;com.vladsch.flexmark:flexmark-ext-escaped-character:0.50.40;com.vladsch.flexmark:flexmark-ext-footnotes:0.50.40;com.vladsch.flexmark:flexmark-ext-gfm-issues:0.50.40;com.vladsch.flexmark:flexmark-ext-gfm-strikethrough:0.50.40;com.vladsch.flexmark:flexmark-ext-gfm-tables:0.50.40;com.vladsch.flexmark:flexmark-ext-gfm-tasklist:0.50.40;com.vladsch.flexmark:flexmark-ext-gfm-users:0.50.40;com.vladsch.flexmark:flexmark-ext-gitlab:0.50.40;com.vladsch.flexmark:flexmark-ext-jekyll-front-matter:0.50.40;com.vladsch.flexmark:flexmark-ext-jekyll-tag:0.50.40;com.vladsch.flexmark:flexmark-ext-media-tags:0.50.40;com.vladsch.flexmark:flexmark-ext-macros:0.50.40;com.vladsch.flexmark:flexmark-ext-ins:0.50.40;com.vladsch.flexmark:flexmark-ext-xwiki-macros:0.50.40;com.vladsch.flexmark:flexmark-ext-superscript:0.50.40;com.vladsch.flexmark:flexmark-ext-tables:0.50.40;com.vladsch.flexmark:flexmark-ext-toc:0.50.40;com.vladsch.flexmark:flexmark-ext-typographic:0.50.40;com.vladsch.flexmark:flexmark-ext-wikilink:0.50.40;com.vladsch.flexmark:flexmark-ext-yaml-front-matter:0.50.40;com.vladsch.flexmark:flexmark-ext-youtube-embedded:0.50.40;com.vladsch.flexmark:flexmark-formatter:0.50.40;com.vladsch.flexmark:flexmark-html-parser:0.50.40;com.vladsch.flexmark:flexmark-html2md-converter:0.50.40;com.vladsch.flexmark:flexmark-jira-converter:0.50.40;com.vladsch.flexmark:flexmark-pdf-converter:0.50.40;com.openhtmltopdf:openhtmltopdf-core:1.0.0;com.openhtmltopdf:openhtmltopdf-pdfbox:1.0.0;org.apache.pdfbox:pdfbox:2.0.16;org.apache.pdfbox:fontbox:2.0.16;org.apache.pdfbox:xmpbox:2.0.16;de.rototor.pdfbox:graphics2d:0.24;com.openhtmltopdf:openhtmltopdf-rtl-support:1.0.0;com.ibm.icu:icu4j:59.1;com.openhtmltopdf:openhtmltopdf-jsoup-dom-converter:1.0.0;com.vladsch.flexmark:flexmark-profile-pegdown:0.50.40;com.vladsch.flexmark:flexmark-util:0.50.40;com.vladsch.flexmark:flexmark-youtrack-converter:0.50.40;org.slf4j:slf4j-api:1.7.30;commons-io:commons-io:2.6;commons-cli:commons-cli:1.4;joda-time:joda-time:2.9.9;org.bouncycastle:bcpkix-jdk15on:1.60;org.bouncycastle:bcprov-jdk15on:1.60;org.apache.jackrabbit:jackrabbit-webdav:1.5.2;org.apache.jackrabbit:jackrabbit-jcr-commons:1.5.2;org.apache.httpcomponents:httpclient:4.5.1;org.apache.httpcomponents:httpcore:4.4.3;commons-codec:commons-codec:1.9;org.apache.httpcomponents:httpasyncclient:4.0.2;org.apache.httpcomponents:httpcore-nio:4.3.2;org.eclipse.jetty:jetty-client:9.4.31.v20200723;org.eclipse.jetty:jetty-http:9.4.31.v20200723;org.eclipse.jetty:jetty-io:9.4.31.v20200723;org.eclipse.jetty.websocket:websocket-client:9.4.31.v20200723;org.eclipse.jetty:jetty-xml:9.4.31.v20200723;org.eclipse.jetty:jetty-util:9.4.31.v20200723;org.eclipse.jetty.websocket:websocket-common:9.4.31.v20200723;org.eclipse.jetty.websocket:websocket-api:9.4.31.v20200723;org.quartz-scheduler:quartz:2.3.2;com.mchange:c3p0:0.9.5.4;com.mchange:mchange-commons-java:0.2.15;com.zaxxer:HikariCP-java7:2.4.13;io.micrometer:micrometer-core:1.6.0;org.hdrhistogram:HdrHistogram:2.1.12;org.latencyutils:LatencyUtils:2.0.3;io.dropwizard.metrics:metrics-healthchecks:4.1.14;com.google.code.gson:gson:2.8.6;org.apache.lucene:lucene-core:5.3.1;org.apache.lucene:lucene-analyzers-common:5.3.1;org.apache.lucene:lucene-queryparser:5.3.1;org.apache.lucene:lucene-queries:5.3.1;org.apache.lucene:lucene-sandbox:5.3.1;org.apache.lucene:lucene-highlighter:5.3.1;org.apache.lucene:lucene-join:5.3.1;org.apache.lucene:lucene-memory:5.3.1;com.github.eirslett:frontend-plugin-core:1.3;org.codehaus.jackson:jackson-mapper-asl:1.9.13;org.codehaus.jackson:jackson-core-asl:1.9.13;org.apache.commons:commons-vfs2:2.2;commons-logging:commons-logging:1.2;org.apache.commons:commons-configuration2:2.2;org.eclipse.jgit:org.eclipse.jgit:4.5.4.201711221230-r;com.jcraft:jsch:0.1.53;com.googlecode.javaewah:JavaEWAH:0.7.9;org.codehaus.jettison:jettison:1.4.0;org.apache.commons:commons-lang3:3.10;org.apache.commons:commons-compress:1.5;org.tukaani:xz:1.2
10,com.github.rssh:dotty-cps-async_sjs1_3.0.0-M2:0.3.4-M2,com.github.rssh:dotty-cps-async_sjs1_3.0.0-M2:0.3.4-M2;org.scala-lang:scala3-library_sjs1_3.0.0-M2:3.0.0-M2;org.scala-js:scalajs-library_2.13:1.3.1;org.scala-lang:scala-library:2.13.4
